State,Average of share_white,Average of share_black,Average of share_native_american,Average of share_asian,Average of share_hispanic
AK,45.7,0.6,45.9,1.4,2.1
AL,72.5,23.3,0.7,0.5,3.0
AR,78.4,16.3,0.8,0.5,4.3
AZ,59.9,1.0,28.6,0.7,20.1
CA,71.9,2.7,1.7,5.6,29.6
CO,87.8,0.9,1.6,1.2,17.9
CT,86.1,5.0,0.7,3.0,8.0
DC,38.5,50.7,0.3,3.5,9.1
DE,76.2,15.4,0.5,2.0,7.4
FL,78.7,13.4,0.5,1.6,16.5
GA,62.6,30.6,0.3,1.5,6.4
HI,33.4,1.1,0.4,25.7,10.4
IA,96.7,0.6,0.3,0.4,2.8
ID,88.8,0.3,2.5,0.5,10.7
IL,90.4,4.7,0.3,1.3,5.2
IN,94.8,1.7,0.3,0.6,3.3
KS,93.0,1.0,1.9,0.4,5.1
KY,92.2,4.4,0.2,0.7,2.2
LA,64.8,30.8,1.0,0.8,3.0
MA,89.7,2.8,0.3,2.9,4.9
MD,72.1,19.5,0.3,3.0,5.9
ME,95.7,0.8,0.5,1.0,1.3
MI,90.7,4.1,1.1,1.0,3.5
MN,91.8,1.0,3.4,1.0,3.2
MO,90.4,5.9,0.5,0.5,2.4
MS,53.8,41.8,1.6,0.5,2.3
MT,84.5,0.2,11.9,0.3,2.2
NC,71.5,20.4,1.8,0.9,6.4
ND,92.3,0.4,5.3,0.3,1.8
NE,94.7,0.4,1.6,0.3,4.1
NH,95.7,0.7,0.3,1.3,1.7
NJ,80.9,7.0,0.3,5.9,11.1
NM,65.4,0.7,15.3,0.5,45.4
NV,82.3,1.6,5.6,2.0,13.2
NY,88.9,4.0,0.4,2.7,6.6
OH,92.8,4.0,0.2,0.8,2.1
OK,72.9,3.4,14.4,0.4,5.7
OR,87.6,0.5,2.6,1.4,9.8
PA,93.3,3.3,0.2,1.0,2.7
RI,89.2,3.0,0.7,1.7,6.7
SC,62.0,32.8,0.5,0.7,4.5
SD,84.8,0.3,12.0,0.3,2.0
TN,88.9,7.3,0.3,0.6,2.9
TX,82.6,5.9,0.7,1.0,39.4
UT,89.4,0.4,3.9,0.8,7.7
VA,74.6,16.5,0.3,3.7,6.2
VT,95.9,0.8,0.4,0.9,1.4
WA,82.4,1.4,3.8,3.1,10.6
WI,93.0,0.9,2.6,0.8,3.3
WV,95.0,2.9,0.2,0.3,0.9
WY,92.4,0.4,3.1,0.4,6.0
Grand Total,83.2,6.8,2.9,1.5,9.3
